round: 0  loss: 3.41812079423280  Accuracy: 20.8834  
round: 63  loss: 0.16728018353364  Accuracy: 34.4083 
round: 64  loss: 0.17551188254099  Accuracy: 31.6419 
round: 65  loss: 0.20736888406445  Accuracy: 28.5721 
round: 66  loss: 0.15915064307215  Accuracy: 33.5281 
round: 67  loss: 0.10787577003109  Accuracy: 34.6962 
round: 68  loss: 0.14846890663722  Accuracy: 31.7644 
round: 69  loss: 0.11478323686818  Accuracy: 36.6495 
round: 70  loss: 0.15986071491137  Accuracy: 32.3229 
round: 71  loss: 0.11004007887280  Accuracy: 38.3616 
round: 72  loss: 0.06988001406615  Accuracy: 36.5272 
round: 73  loss: 0.11174795811949  Accuracy: 37.3186 
round: 74  loss: 0.10680556882645  Accuracy: 34.4790 
round: 75  loss: 0.12293881285019  Accuracy: 33.8899 
round: 76  loss: 0.12637735486288  Accuracy: 35.1481 
round: 77  loss: 0.12021908546404  Accuracy: 34.4817 
round: 78  loss: 0.10009318599141  Accuracy: 37.1506 
round: 79  loss: 0.08473789375744  Accuracy: 35.3648 
round: 80  loss: 0.08755023975696  Accuracy: 36.0950 
round: 81  loss: 0.09033515835680  Accuracy: 38.1421 
round: 82  loss: 0.08624911874221  Accuracy: 36.0533 
round: 83  loss: 0.11283940607778  Accuracy: 34.9761 
round: 84  loss: 0.07705360458622  Accuracy: 37.8994 
round: 85  loss: 0.03647134130352  Accuracy: 37.3896 
round: 86  loss: 0.05300024831954  Accuracy: 39.7002 
round: 87  loss: 0.08485277451529  Accuracy: 39.1117 
round: 88  loss: 0.04625444001823  Accuracy: 39.8160 
round: 89  loss: 0.10388567630953  Accuracy: 36.3769 
round: 90  loss: 0.06301608465001  Accuracy: 40.4748 
round: 91  loss: 0.05973650537999  Accuracy: 41.1549 
round: 92  loss: 0.09890354363989  Accuracy: 38.2003 
round: 93  loss: 0.07591090250840  Accuracy: 39.3396 
round: 94  loss: 0.11164304052815  Accuracy: 35.8481 
round: 95  loss: 0.06583139949168  Accuracy: 38.1309 
round: 96  loss: 0.03752661265041  Accuracy: 40.7522 
round: 97  loss: 0.06127080001427  Accuracy: 38.1660 
round: 98  loss: 0.05443883174877  Accuracy: 41.4147 
round: 99  loss: 0.04194324626385  Accuracy: 40.4798 
